member_id,member_primary_name,member_location,member_country
5171,Savvy Science Publisher,,
5573,Faculty of Veterinary Medicine - Skopje,,
18913,Ophthalmological Society of Pakistan,,
19692,Center of Scientific - Research and Statistical Innovation,,
19701,Pakistan Phytopathological Society,,
19818,Sami Publishing Company,,
19825,Yektaweb Publishing Company,,
19870,Al-Quds Open University,,
19873,Islamic University of Gaza,,
19931,Pakistan Journal of Biotechnology - PJBT,,
19946,University of Palestine,,
19995,Al-Aqsa University,,
20133,IUMS Press,,
21119,Arab American University,,
21134,Islamabad Medical and Dental College,,
22194,Journal of Historical and Social Studies,,
22456,Israa University Journal for Humanities,,
22487,Publishing & Printing House of Innovative Development,,
22491,Pakistan Society of Neurosurgeons,,
22493,Al-Istiqlal University Research Journal,,
22567,Scientific Journal - WEST-EAST,,
22952,IUT Press,,
23119,The Palestinian Historical Journal,,
23228,Journal of Research Publication House LLC,,
23625,Epistemology (Journal of Islamic Social Sciences),,
24475,Samarkand State Institute of Foreign Languages,,
24606,Research Institute of Semiconductor Physics and Microelectronics at National University of Uzbekistan named after M. Ulugbek,,
25383,Journal of Applied Research in Plant Sciences (JOARPS),,
25422,Lawyers' Training Centre under the Ministry of Justice,,
25818,Pakistan Association for Women's Studies,,
26141,Eurasian Scientific and Medical Journal Sino,,
26372,Journal of Islamic Civilization and Culture,,
26455,Synergy Research Club (SMC-PVT) LTD Pakistan,,
26543,"College of Medicine and Health Science, DireDawa University",,
26564,Alma Jordan Library,,
26715,Pakistan Cardiac Society,,
26738,Mona Library,,
26911,National Library Republic of Uzbekistan,,
27066,National Museum of the Republic of Kazakhstan,,
27122,"Faculty of Engineering, The University of The West Indies",,
27236,Shaikh Zayed Medical Complex Lahore,,
27678,ASIA-PACIFIC,,
28071,"Shaheed Zulfiqar Ali Bhutto Medical University, Pakistan",,
28508,"Newport Institute of Communications and Economics, Karachi",,
28534,AFKAR,,
28699,Gomal University Journal of Research,,
28923,Israa University Journal for Scientific Conferences,,
29016,"Socio-Cultural Awareness Human & Resources Advancement Association (SAHARAA), Pakistan",,
29103,Al-Ramzan Trust,,
29412,"Progressive Research Journal of Arts & Humanities, Sarangaa Literary & Cultural Society (SLCS)",,
29418,Abai Kazakh National Pedagogical University,,
29761,"Al-Sharq, Madrassa Islamia Rabbania, Abbottabad",,
29976,Advance Legal Research Foundation,,
29979,"Department of Mathematics, University of the Punjab",,
29994,Bukhara State University,,
30035,Institute of Policy Studies (IPS),,
30060,SP Magazine &quot;Science and Life of Kazakhstan&quot;,,
30184,"Department of Islamic Studies, Shaheed Benazir Bhutoo University Sheringal Dir Upper",,
30220,Karaganda University of Kazpotrebsoyuz,,
30450,"International Journal of Natural Sciences, Sylhet Agricultural University",,
30661,PCSIR-Scientific Information Center,,
30806,"Mir Chakar Khan Rind University, Sibi",,
30807,Journal of Quality Assurance in Agricultural Sciences,,
30836,Integrative Plant Sciences,,
31343,Zhetysu University named after I. Zhansugurov,,
31560,National Center for Expertise of Medicines and Medical Devices,,
31644,Al Khadim Foundation,,
31646,"Bashir Institute of Health Sciences, Islamabad",,
31871,Research and Production Center for Microbiology and Virology,,
32097,&quot;FAN VA TA'LIM&quot; MCHJ,,
32134,"Business, Management & Educational Research",,
32365,Navoi Mining and Metallurgical Combinat,,
32594,PagePal,,
32730,International Information Technology University,,
32834,Institute of Control Systems,,
33230,Lahore Garrison University,,
33432,KMG Engineering,,
34689,"Dynamic Printers, Islamabad",,
34986,Pakistan Society of Biochemistry and Molecular Biology,,
35861,"MNS University of Agriculture, Multan",,
39407,Palestine Ahliya University,,
34409,Society of Life Sciences Nepal,"Kathmand, u",u
30318,National Academy of Sciences of the Republic of Armenia,"Yerevan, AM",AM
26789,"Department of Clinical Pharmacy and Pharmacy Practice, University of Benin","Benin City, ED",ED
10840,"University of Engineering and Technology, Peshawar","Peshawar, KP",KP
25859,IDEA PUBLISHERS,"Peshawar, KP",KP
32493,Templeton World Charity Organization,"Nassau, NP",NP
25879,IJAAR Publishing,"Garden City, RV",RV
47823,African Center for Equitable Development,"Abomey-Calavi, 660",660
17642,Delta State College of Education,"Benin, Edo",Edo
24971,NIPES Publications,"Benin, Edo",Edo
38013,Rasetass Academy,"Iguosa, Edo",Edo
28598,African Researchers Magazine,"Benin City, Edo",Edo
8331,Nile University of Nigeria,"Abuja, FCT",FCT
24491,CEFPACS Consulting Limited,"Abuja, FCT",FCT
27457,"National Institute for Legislative and Democratic Studies (NILDS), National Assembly, Nigeria","Abuja, FCT",FCT
38315,Institute of Peace and Diplomatic Studies,"Islamabad, ICT",ICT
19486,Mecon Publications Association,"Orlu, Imo",Imo
34907,Science View Journal,"Owerri, Imo",Imo
6583,International Ataturk Alatoo University,"Bishkek, KGZ",KGZ
18650,University of Chitral,"Chitral, KPK",KPK
11991,Academy of IRMBR,"Peshawar, KPK",KPK
21123,Lujosh Ventures Limited,Ojo,Ojo
30655,Osh State University,Osh,Osh
33405,Kyrgyz-Uzbek International University named after Batyraly Sydykov,Osh,Osh
35050,Osh State Pedagogical University,Osh,Osh
8449,"Center for Bioethics and Research, Nigeria","Ibadan, Oyo",Oyo
9913,Creative Research Publishers,"Ibadan, Oyo",Oyo
37526,Association of Behavioural Research Analysts and Psychometricians,"Ibadan, Oyo",Oyo
35139,Khaan Academy,"Ulaanbaatar, Tuv",Tuv
10870,Tropical Journal of Applied Natural Sciences (TJANS),Uli,Uli
29825,Herald of Azerbaijan Engineering Academy,"Baku, Bina, 25km",25km
27593,Centre for Samoan Studies - National University of Samoa,Apia,Apia
3464,Oil Gas Scientific Research Project Institute,Baku,Baku
3789,Khazar University Press,Baku,Baku
4553,Progress IPS,Baku,Baku
6085,Community of Azerbaijanis living in Georgia,Baku,Baku
10671,"Institute of Information Technology, Ministry of Science and Education of the Republic of Azerbaijan",Baku,Baku
10736,International Organization for Legal Researches,Baku,Baku
10895,Representation of Azerbaijan International Diaspora Centre in Georgia (RAIDCG),Baku,Baku
11485,Uptodate In Medicine LLC,Baku,Baku
12002,Global Cooperation and Analytical Research Center Public Union,Baku,Baku
21515,Azerbaijan Oil Industry,Baku,Baku
22730,Azerbaijan Science Center,Baku,Baku
29000,Azerbaijan State University of Culture and Art,Baku,Baku
31405,Scientific Petroleum,Baku,Baku
32590,Western Caspian University,Baku,Baku
33061,Research Institute of Crop Husbandry,Baku,Baku
33200,Caspian Corrosion Control LLC,Baku,Baku
35345,International Meetings and Conferences Research Association,Baku,Baku
36933,Azerbaijan University of Architecture and Construction,Baku,Baku
37277,Azərbaycan Tibb Universiteti,Baku,Baku
38101,Presidium of the Azerbaijan National Academy of Sciences,Baku,Baku
38695,Azerbaijani National Academy of Sciences,Baku,Baku
38778,Institute of Geography named after academician H.A. Aliyev,Baku,Baku
38896,Public Union &quot;The Library of Future&quot;,Baku,Baku
39414,Azerbaijan State Advanced Training Institute for Doctors named by A.Aliyev,Baku,Baku
39432,Academician Abdulla Garayev Institute of Physiology,Baku,Baku
39493,ADA University,Baku,Baku
39827,Azerbaijan Technical University,Baku,Baku
47748,Azərbaycan Milli Elmlər Akademiyası Genetik Ehtiyatlar İnstitutu,Baku,Baku
47758,Azerbaijan State University of Economics (UNEC),Baku,Baku
47764,Faculty of Law of Baku State University,Baku,Baku
47934,National Association of Neurologists,Baku,Baku
48019,Institute of Radiation Problems,Baku,Baku
48185,Institute of Molecular Biology and Biotechnologies of the Ministry of Science and Education,Baku,Baku
48271,Baku Slavic University,Baku,Baku
48477,Police Academy of the Ministry of Internal Affairs of Azerbaijan Republic,Baku,Baku
16688,Journal Of Academic Social Resources,"Baku, Baku",Baku
16704,Journal Of Social Humanities and Administrative Sciences,"Baku, Baku",Baku
17267,Azerbaijan State Oil and Industry University,"Baku, Baku",Baku
17344,Institute of Catalysis and Inorganic Chemistry,"Baku, Baku",Baku
19164,Azerbaijan National Academy of Sciences - Geology and Geophysics Institute,"Baku, Baku",Baku
19700,METAFIZIKA International Journal of Philosophy and Interdisciplinary Studies,"Baku, Baku",Baku
22982,Education Support and Investment Fund NGO,"Baku, Baku",Baku
10592,Center for Scientific Research and Development of Education,"Bishkek, Chui",Chui
19661,International University of Innovation Technologies,"Bishkek, Chui",Chui
25036,International Association of Experts on Earthquake Engineering,"Bishkek, Chui",Chui
32816,Kyrgyz National University J. Balasagyn,"Bishkek, Chuy",Chuy
20095,Editorial  Group - Las Tunas University,"Las Tunas, Las Tunas, Cuba",Cuba
28357,Dili Institute of Technology,Dili,Dili
32160,Universidade Nacional Timor Lorosa'e,Dili,Dili
37867,Palm Strategic Initiatives Centre,Gaza,Gaza
47527,David Aghmashenebeli National Defence Academy of Georgia,Gori,Gori
19631,Dar Al-utroha For Scientific Publishing,Iraq,Iraq
19671,Journal of Babylon Center for Humanities Studies,Iraq,Iraq
19693,University of Babylon - The College Of Education For Humanitarian Studies,Iraq,Iraq
19876,"Scientific Journal of Physical Education, College of Physical Education, University of Babylon",Iraq,Iraq
20302,Iraqi Association of Information Technology,Iraq,Iraq
20387,Al Mustansiriya Journal for Arab and International Studies,Iraq,Iraq
21125,Orientalism Studies,Iraq,Iraq
21132,Hawlyat Al-Montada for Human Studies,Iraq,Iraq
21871,Journal of College of the Great Imam University,Iraq,Iraq
22350,Al-Ma mon College Journal,Iraq,Iraq
22447,AL- Mouhakiq Al-Hilly Journal for Legal and Political Science,Iraq,Iraq
22484,Al Mansour Journal,Iraq,Iraq
30712,Alssebt,Iraq,Iraq
30772,Journal Of Educational and Psychological Researches,Iraq,Iraq
14850,University of Anbar,"Anbar, Iraq",Iraq
34983,"Physical Education and Sports Sciences, University of Basra","Basra, Iraq",Iraq
6079,Hawler Medical University,"Erbil, Iraq",Iraq
10007,Ishik University,"Erbil, Iraq",Iraq
10180,Cihan University of Erbil,"Erbil, Iraq",Iraq
10837,Lebanese French University,"Erbil, Iraq",Iraq
35163,Kurdistan Higher Council of Medical Specialties,"Erbil, Iraq",Iraq
35483,Kurdish Academy,"Erbil, Iraq",Iraq
38677,Erbil Polytechnic University - DIGITAL COMMONS JOURNALS,"Erbil, Iraq",Iraq
37681,Barw Medical Journal,"Kalar, Iraq",Iraq
19764,University of Mosul,"Mosul, Iraq",Iraq
26016,"Al-Furat Journal of Innovations in Electronics and Computer Engineering, ATU","Najaf, Iraq",Iraq
29355,The Islamic University,"Najaf, Iraq",Iraq
33832,Akkad Center for Economic and Financial Studies,"Najaf, Iraq",Iraq
34830,University of Alkafeel,"Najaf, Iraq",Iraq
40107,Al-Alamain Institute for Higher Education,"Najaf, Iraq",Iraq
10900,University of Zakho,"Zakho, Iraq",Iraq
9939,Al-Mustansiriyah Journal of Science,"Bahgad, Iraq",Iraq
10064,Basrah Journal of Veterinary Research,"Basrah, Iraq",Iraq
11607,"College of Science, University of Basrah","Basrah, Iraq",Iraq
11760,"College of Medicine, University of Basrah","Basrah, Iraq",Iraq
12013,College Administration and Economics,"Basrah, Iraq",Iraq
19545,"University of Basrah, College of Medicine","Basrah, Iraq",Iraq
23506,Iraqi Association for Medical Research and Studies,"Basrah, Iraq",Iraq
30269,Shatt Al-Arab University College,"Basrah, Iraq",Iraq
35672,"College of Arts, University of Basrah","Basrah, Iraq",Iraq
36079,"College of Education for Pure Science, University of Basrah","Basrah, Iraq",Iraq
38969,"University of Basrah, College of Fine Arts","Basrah, Iraq",Iraq
38984,College of Education for Human Sciences - University of Basrah,"Basrah, Iraq",Iraq
33098,Bilad Alrafidain University College,"Diyala, Iraq",Iraq
37516,"College of Agriculture, Kirkuk University","Kirkuk, Iraq",Iraq
30591,University of Misan,"Maysan, Iraq",Iraq
16174,University of Babylon Environmental Research Center,"Babylon, Iraq",Iraq
8694,"College of Science for Women, University of Baghdad","Baghdad, Iraq",Iraq
9692,Al-Nahrain Journal of Science,"Baghdad, Iraq",Iraq
9867,"College of Medicine, Alnahrain University","Baghdad, Iraq",Iraq
10221,Biotechnology Research Center,"Baghdad, Iraq",Iraq
10621,University of Baghdad College of Science,"Baghdad, Iraq",Iraq
10826,University of Information Technology and Communications,"Baghdad, Iraq",Iraq
11013,Journal of Baghdad College of Dentistry,"Baghdad, Iraq",Iraq
11448,"College of Medicine, Mustansiriya University","Baghdad, Iraq",Iraq
11478,Iraqi Journal of Market Research and Consumer Protection,"Baghdad, Iraq",Iraq
11515,Iraqi Journal of Embryos and Infertility Researches,"Baghdad, Iraq",Iraq
11739,Al-Nahrain Journal for Engineering Sciences,"Baghdad, Iraq",Iraq
11961,Iraqi Center for Cancer and Medical Genetics Research,"Baghdad, Iraq",Iraq
11973,College of Education for Pure Science (Ibn Al-Haitham),"Baghdad, Iraq",Iraq
11990,Baghdad University College of Veterinary Medicine,"Baghdad, Iraq",Iraq
12133,University of Technology,"Baghdad, Iraq",Iraq
12175,Iraqi Journal of Physics,"Baghdad, Iraq",Iraq
12359,College of Political Sciences,"Baghdad, Iraq",Iraq
14918,Iraqi Journal of Chemical and Petroleum Engineering,"Baghdad, Iraq",Iraq
15013,"University of Baghdad, Institute of Laser for Postgraduate Studies","Baghdad, Iraq",Iraq
16098,Journal of Engineering,"Baghdad, Iraq",Iraq
16207,Mustansiriyah University College of Engineering,"Baghdad, Iraq",Iraq
20241,Al-Mustansiriyah University - College of Arts,"Baghdad, Iraq",Iraq
21277,Al-Mustansiriya Center for Arab and International Studies,"Baghdad, Iraq",Iraq
21448,University of Baghdad - College of Education for Women,"Baghdad, Iraq",Iraq
23314,College of Education - Aliraqia University,"Baghdad, Iraq",Iraq
23511,College of Physical Education and Sport Science,"Baghdad, Iraq",Iraq
25607,Iraqi Dental Journal,"Baghdad, Iraq",Iraq
27527,University of Baghdad - Al-Kindy College of Medicine,"Baghdad, Iraq",Iraq
27533,Iraqi Academics Syndicate,"Baghdad, Iraq",Iraq
27556,SRP Center,"Baghdad, Iraq",Iraq
27621,"College of Education, Mustansiriyah University","Baghdad, Iraq",Iraq
27851,Al-araqah Foundation,"Baghdad, Iraq",Iraq
27962,Baghdad Medical Journal of Students,"Baghdad, Iraq",Iraq
28246,Middle Technical University,"Baghdad, Iraq",Iraq
28277,Alsalam University College,"Baghdad, Iraq",Iraq
29220,Petroleum Research and Development Center (PRDC),"Baghdad, Iraq",Iraq
29612,The Iraqi Board for Medical Specializations,"Baghdad, Iraq",Iraq
31433,Corporation of Research and Industrial Development,"Baghdad, Iraq",Iraq
32099,Center of Revival Heritage,"Baghdad, Iraq",Iraq
33778,Ishtar Academy Group,"Baghdad, Iraq",Iraq
34258,Department of Academic Affairs - Al-Rafidain University College,"Baghdad, Iraq",Iraq
34631,Iraqi Medical Research Center,"Baghdad, Iraq",Iraq
36770,Nabea Al-Ajyal Foundation press,"Baghdad, Iraq",Iraq
37356,Mesopotamian Academic Press,"Baghdad, Iraq",Iraq
37416,Al-Iraqia University,"Baghdad, Iraq",Iraq
37610,University of Baghdad - College of Nursing,"Baghdad, Iraq",Iraq
37796,Iraqi Association for Oral Research,"Baghdad, Iraq",Iraq
38105,Iraq Geological Survey,"Baghdad, Iraq",Iraq
39132,Al-Farabi University College,"Baghdad, Iraq",Iraq
47840,College of Imam Al-Kadhum,"Baghdad, Iraq",Iraq
48038,Hammurabi Centre for Research and Strategic Studies,"Baghdad, Iraq",Iraq
33955,"College of Law and Political Science, Diyala University","Baqubah, Iraq",Iraq
17129,Al-Ameed Center,"Karbala, Iraq",Iraq
31316,University of Kerbala,"Karbala, Iraq",Iraq
36393,University of Warith Al-anbiyaa,"Karbala, Iraq",Iraq
9587,Naba'a Al-Hayat Foundation for Medical Sciences and Health Care,"Kerbala, Iraq",Iraq
34918,Journal of Advanced Sciences and Nanotechnology,"Monsure, Iraq",Iraq
11900,University of Al-Qadisiyah/ College of Science,"Diwaniah, Iraq",Iraq
24864,University of Fallujah,"Fallujah, Iraq",Iraq
16108,Wasit University,"Kut, Kut, Iraq",Iraq
29960,Al-Furat Journal of Innovations in Mechanical and Sustainable Energy Engineering FJIMSE,"Kufa City, Iraq",Iraq
10805,University of Sulaimani - College of Law and Politics,"Sulaimani, Iraq",Iraq
12223,Al-Qadisiyah Journal for Engineering Sciences (QJES),"Addiwaniya, Iraq",Iraq
5382,Sjournals,"Dehuk City, Iraq",Iraq
38673,Knowledge University,"Erbil, Iraq, Iraq",Iraq
11299,University of Raparin,"Sulaimanyah, Iraq",Iraq
10725,Cihan University - Sulaimanyia,"Sulaimanyia, Iraq",Iraq
11611,College of Veterinary Medicine,"AL-Diwaniyah, Iraq",Iraq
19485,Al-Qadisyiah Uni - Al-Qadisiyah Journal For Agriculture Sciences - QJAS,"Al-Qadisiyah, Iraq",Iraq
33164,"College of Basic Education, University of Misan","Amara, Misan, Iraq",Iraq
22394,Al-Kunooze University College,"Basra, Basra, Iraq",Iraq
17027,Salahaddin University- Erbil - Conferences,"Erbil, Erbil, Iraq",Iraq
24525,Scientific Journal of Medical Research,"Hilla, Babel, Iraq",Iraq
11742,University of Babylon,"Hilla, Babil, Iraq",Iraq
27689,IJEPS Publications,"Najaf, Najfa, Iraq",Iraq
11132,"American University of Iraq, Sulaimani","Sulaimaniyah, Iraq",Iraq
32049,EngiScience Publisher,"Sulaimaniyah, Iraq",Iraq
10975,Humanities Journal of University of Zakho,"Zakho, Duhok, Iraq",Iraq
25122,Interdisciplinary Publishing Academia,"Zakho, Duhok, Iraq",Iraq
18228,University of Babylon - Physical Education and Sports Sciences,"Babel, Hillah, Iraq",Iraq
37593,Marine Science Centre - The University of Basrah,"Basra, Basrah, Iraq",Iraq
28074,AlMaarif University College (AUC),"Ramadi, Anbar, Iraq",Iraq
39275,Journal of Life Science and Applied Research,"Ramadi, Anbar, Iraq",Iraq
17181,Soran University,"Rwandz, Erbil, Iraq",Iraq
11662,"College of Administration and Economics, University of Wasit","al-Kut, Wasit, Iraq",Iraq
29219,University of Baghdad - College of Islamic Sciences,"Baghdad, Alawi, Iraq",Iraq
10331,"University of Diyala, College of Science","Baquba, Diyala, Iraq",Iraq
17980,Basrah Medical College - Department of Surgery,"Basrah, Basrah, Iraq",Iraq
22819,"Basrah Journal of Agricultural Sciences, College of Agriculture, University of Basrah","Basrah, Basrah, Iraq",Iraq
17799,"University of Babylon - Department of Mechanical Engineering, Faculty of Engineering","Hilla, Babylon, Iraq",Iraq
18115,Kirkuk University,"Kirkuk, Kirkuk, Iraq",Iraq
47732,Al-Hadba University College,"Mosul, Nineveh, Iraq",Iraq
17572,International Scholars and Researchers Association,"Tikrit, Tikrit, Iraq",Iraq
11160,Diyala Journal of Medicine,"Baqubah, Diyala, Iraq",Iraq
29795,"College of Agriculture, University of Diyala","Baqubah, Diyala, Iraq",Iraq
16196,College of Pharmacy University of Baghdad,"Rusafa, Baghdad, Iraq",Iraq
39997,Aliraqia University - College of Law and Political Sciences,"7 Abkar, Baghdad, Iraq",Iraq
16606,Faculty of Medicine University of Baghdad,"Baghdad, Baghdad, Iraq",Iraq
16981,University of Baghdad - College of Arts,"Baghdad, Baghdad, Iraq",Iraq
17028,College of Information Engineering - Al-Nahrain University,"Baghdad, Baghdad, Iraq",Iraq
18293,Iraqi Scientific Business Management Society,"Baghdad, Baghdad, Iraq",Iraq
18370,"University of Technology, Baghdad","Baghdad, Baghdad, Iraq",Iraq
18637,University Of Baghdad - College of Fine Arts,"Baghdad, Baghdad, Iraq",Iraq
18836,University of Baghdad - College of Agriculture,"Baghdad, Baghdad, Iraq",Iraq
19685,University of Baghdad - College of Law,"Baghdad, Baghdad, Iraq",Iraq
21080,Alutroha House for Scientific Publishing,"Baghdad, Baghdad, Iraq",Iraq
21257,University of Baghdad - College of Education - Ibn Rushd for Human Sciences,"Baghdad, Baghdad, Iraq",Iraq
22164,Journal Port Science Research,"Baghdad, Baghdad, Iraq",Iraq
10632,Nawroz University,"Duhok, Kurdistan, Iraq",Iraq
32125,Qabas Centre for Research and Development,"Duhok, Kurdistan, Iraq",Iraq
39233,Quality Academic And Scientific Publishing Agency (QAASPA Publisher),"Hiwa City, Erbil, Iraq",Iraq
36998,Al-Nahrain University College of Political Science,"Jadriya, Baghdad, Iraq",Iraq
19407,University of Kerbala - KIJOMS,"Karbala, Karbala, Iraq",Iraq
39026,Agriculture College - University of Kerbala,"Karbala, Karbala, Iraq",Iraq
47806,Al-Ameed Journal for Medical Research and Health Sciences,"Karbala, Karbala, Iraq",Iraq
18739,Society of Engineering Colleges and Institutes,"Karrada, Baghdad, Iraq",Iraq
34203,Golden STEPS For Academic Services and Scientific Publishing,"Tikrit, Saladdin, Iraq",Iraq
21355,Al-Mustansiriya University - College of Basic Education,"Adhamiya, Baghdad, Iraq",Iraq
19161,University of Baghdad - The Post-Graduate Institute for Accounting and Financial Studies - PGIAFS,"Jadriyah, Baghdad, Iraq",Iraq
36449,Al-Nahrain University College of Business Economics,"Jadriyah, Baghdad, Iraq",Iraq
18002,Al-Mustansiriyah University - College of Dentistry,"Adhamiyah, Baghdad, Iraq",Iraq
21513,University of Baghdad - College of Languages,"Al Rusafa, Baghdad, Iraq",Iraq
9416,Al-Khwarizmi Engineering Journal,"Al-Jadria, Baghdad, Iraq",Iraq
18676,University of Baghdad - College of Mass Communication,"Al-Jadria, Baghdad, Iraq",Iraq
32102,"Physical Education and Sport Sciences College for Women, Baghdad University","Alwazerya, Baghdad, Iraq",Iraq
11386,Iraq Natural History Research Center and Museum,"Baghdad, Al Rusafa, Iraq",Iraq
36999,Al-Nahrain University College of Law,"Kadhimiya, Baghdad, Iraq",Iraq
19749,University of Basrah - College of Engineering,"Karmat Ali, Basrah, Iraq",Iraq
32101,"University of Thi-Qar, College of Agriculture and Marshes","Nasiriyah, Thi Qar, Iraq",Iraq
29576,"College of Arts, Tikrit University","Tikrit, Salahuddin, Iraq",Iraq
16708,Thi-Qar University Journal for Engineering Sciences,"Al-Nasriya, Thi-Qar, Iraq",Iraq
17844,University of Baghdad - College of Administration and Economics,"Al-Wazirya, Baghdad, Iraq",Iraq
35136,Northern Technical University,"Mosul City, Nineveh, Iraq",Iraq
16118,University of Duhok College of Medicine,"Nakhoshkhana, Duhok, Iraq",Iraq
10758,Tikrit University,"Tikrit, Salahalddin, Iraq",Iraq
25930,Union of Iraqi Geologists (UIG),"Baghdad, Al Jaderiya, Iraq",Iraq
27100,"Department of Chemistry and Biochemistry, Al-Nahrain University","Al- Kadhmiya, Baghdad, Iraq",Iraq
17261,University of Thi-Qar,"Al-Nasiriyah, Dhi Qar, Iraq",Iraq
21934,Al-Nisour University College,"Baghdad, Eastern Cape, Iraq",Iraq
32374,University of Samarra,"Samarra, Salah Aldeen, Iraq",Iraq
5639,Koya University,"Koya, Kurdistan Region, Iraq",Iraq
11233,University of Duhok,"Duhok, Kurdistan Region, Iraq",Iraq
35767,"University of Duhok, College of Law","Duhok, Kurdistan Region, Iraq",Iraq
9195,Salahaddin University - Erbil,"Erbil, Kurdistan Region, Iraq",Iraq
10703,University of Kurdistan Hewler,"Erbil, Kurdistan Region, Iraq",Iraq
10789,Erbil Polytechnic University,"Erbil, Kurdistan Region, Iraq",Iraq
11850,Journal of Al-Qadisiyah for Computer Science and Mathematics,"Jamia Suburb, Qadisiyah, Iraq",Iraq
19609,Al-Qadisiyah Journal of Administrative and Economics,"Alqadisiyah, Alqadisiyah, Iraq",Iraq
11466,University of Al-Qadisiyah,"Ad Diwanyih, Al-Qadisyiah, Iraq",Iraq
33338,Kurdistan Institution for Strategic Studies and Scientific Research,"Slemani, Kurdistan Region, Iraq",Iraq
7013,Journal of Zankoy Sulaimani - Part A,"Al-Sulaimaniyah, Kurdistan, Iraq",Iraq
12030,University of Kufa,"Al-Najaf, Najaf Governorate, Iraq",Iraq
18224,Al Mustansiriyah University - College of Pharmacy,"Qadissiya District, Baghdad, Iraq",Iraq
10102,Sulaimani Polytechnic University,"Sulaimani, Kurdistan Region, Iraq",Iraq
17410,University of Halabja,"Sulaimani, Kurdistan Region, Iraq",Iraq
9391,University of Human Development,"Sulaimany, Kurdistan Region, Iraq",Iraq
27819,Qubahan Organization for Development,"Duhok City, Kurdistan Region, Iraq",Iraq
